tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt0279747,Broken Hearts,2001.0,['Drama'],"['nm0844752', 'nm0080968', 'nm0642910', 'nm0303490']",112.0,6.8,,,100.0,,,
tt0279831,Brother,2001.0,['Drama'],['nm0477246'],90.0,6.8,,,61.0,,,
tt0280496,Body Weapon,1999.0,"['Action', 'Crime', 'Thriller']","['nm0158414', 'nm0041247', 'nm0875275', 'nm0875275', 'nm0481720']",91.0,4.2,,,374.0,,,
tt0280507,Bunuel and King Solomon's Table,2001.0,"['Adventure', 'Fantasy']","['nm0252655', 'nm0998801', 'nm0022764', 'nm0171630', 'nm0140643']",105.0,5.6,,,561.0,,,
tt0280932,Boys for Beauty,1999.0,['Documentary'],[],90.0,7.3,,,20.0,,,
tt0281676,Boyanskiyat maystor,1981.0,"['Drama', 'Romance']","['nm0221624', 'nm0227365', 'nm0548612', 'nm0102473', 'nm0819094']",108.0,7.4,,,47.0,,,
tt0281679,Brasileirinhas 2001,2001.0,['Documentary'],[],85.0,7.8,,,30.0,,,
tt0281686,Bubba Ho-Tep,2002.0,"['Comedy', 'Fantasy', 'Horror']","['nm0132257', 'nm0132257', 'nm0001115', 'nm0412370', 'nm0672074']",92.0,6.9,English,United States,54186.0,1.0,1.2,"An elderly man at The Shady Rest Retirement Home in East Texas is known to the staff as Sebastian Haff, but claims to be the real Elvis Presley . He explains that during the 1970s, he grew tired of the demands of his fame and switched places with an Elvis impersonator named Sebastian Haff; he claims it was Haff who died in 1977, while he lived in quiet, happy anonymity and made a living pretending to be himself. After a propane explosion destroyed documentation which was the only proof that he was actually Elvis, he was unable to return to his old life. He also falls into a coma after injuring himself during a performance. Twenty years later in the present, Elvis contemplates his age and dignity; his only friend is a man named Jack who insists he is President John F. Kennedy (who was nicknamed Jack) claiming to have had his skin dyed black after an assassination attempt and abandoned by Lyndon Johnson in a nursing home. Initially skeptical of Jack's story, Elvis does spot a mysterious scar on the back of Jack's head, but is ultimately unsure of its origin. Eventually, Elvis and Jack are forced to face off against a re-animated ancient Egyptian mummy that was stolen during a U.S. museum tour, and then lost during a severe storm in East Texas when the thieves' bus veered into a river near the nursing home. The mummy takes on the garb of a cowboy and feeds on the souls of the residents of the home. Jack surmises that it feeds at the nursing home because the residents are weak and that nobody will suspect that it is killing them off. It is dubbed ""Bubba Ho-Tep"" by Elvis, who has a telepathic flashback of the mummy's life and death when he looks into its eyes. Due to their age, Jack and Elvis lack mobility and use a motorized wheelchair and a walker to get around the grounds."
tt0282392,Bosque de muerte,1993.0,"['Horror', 'Mystery', 'Thriller']","['nm0722029', 'nm0124546', 'nm0094395', 'nm0305894', 'nm0305708']",81.0,6.5,,,68.0,,,
tt0282394,Brahmachari Mogudu,1993.0,"['Comedy', 'Drama']","['nm0707399', 'nm0004467', 'nm0320880', 'nm0103977', 'nm0892742']",138.0,6.6,Telugu,India,44.0,,,"The film begins with a jobless bachelor, Rambabu, the only son of Madhavaiah and Savitramma. He gains a clerk-cum-typist post in a private company owned by Kutumba Rao, who detests bachelors because they lead on his sister. Hence, he pesters him by assigning him jobs below his dignity, such as cleaning the tables, supplying water, hygiene lavatories, etc. Rambabu is compelled because of the prohibition period. Moreover, his colleague Rani attempts to entice him when Kutumba Rao's abuse hikes. Being vexed, Rambabu seeks the aid of associate Gurunadam, and he guides him to forge his nuptial. Thus, Rambabu prints his wedding cards by freely selecting a girl's photograph, which bars Kutumba Rao's torment. Here, as a flabbergast, the same girl in Jayalakshmi walks on, proclaiming that his wife, with the evidence, and his parents also confirm it. However, Rambabu initially quiets down for fear of his boss. Yet, he challenges Jaya to unveil her deception, and she, too, vows to make him declare her his wife. A comic tale starts, and Rambabu tries to blab the truth. He moves to the venue with his parents, where Jaya states the wedlock occurred. He writes anonymous letters that bear witness to her fraudulence but in vain. Suddenly, Rambabu reencounters Rani, who attempts to sham a romantic game with her, unbeknownst that she is off the market, and receives her husband, a retired colonel's batter. Whereat, Madhavaiah & Savitri seek Jaya when she divulges the fact. Indeed, Rambabu's distributed invitations wreck Jaya's life by calling off her settled splice. Plus, she has to pay for mortifications, which led to her mother Shantamma's death. The Madhavaiah couple cares for it, feels sorry, and declares Jaya their daughter-in-law. Parallelly,  Rambabu is resolutely tied instantly to clear these troubles and organizes everything by going with anyone. Then, everybody rushes, and on the verge, they elucidate Rambabu's total setback. At last, he regrets his sin, pleads pardon from all, and accepts Jaya as his spouse. Finally, the movie ends happily with the marriage of Rambabu & Jaya."
